epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8072,2.17526,4.20657,1.72026,0.00461,0.51852,0.24582,0.17043,1.54172,4.23219,1.78824,4.444e-05,4.444e-05,4.444e-05
2,65.0232,1.99404,3.95714,1.628,0.00461,0.51852,0.39004,0.22886,1.54644,4.2094,1.72075,9.80102e-05,9.80102e-05,9.80102e-05
3,96.701,2.02057,3.5769,1.49243,0.00548,0.51852,0.34551,0.22221,1.7923,4.29969,1.84215,0.000149381,0.000149381,0.000149381
4,128.617,1.98256,2.80573,1.44398,0.00596,0.51852,0.36197,0.25222,1.79837,4.20987,1.96635,0.000198551,0.000198551,0.000198551
5,160.875,1.89758,2.53136,1.44293,0.00891,0.59259,0.41863,0.29601,1.58429,4.03396,1.77857,0.000245522,0.000245522,0.000245522
6,192.86,1.88146,2.27844,1.42849,0.00937,0.59259,0.38903,0.25687,1.55754,4.02476,1.71354,0.000290293,0.000290293,0.000290293
7,224.746,1.94404,2.18893,1.37823,0.01515,0.7037,0.40151,0.27751,1.52382,3.82797,1.71573,0.000332864,0.000332864,0.000332864
8,256.704,1.74727,2.08751,1.36338,0.01758,0.74074,0.45201,0.29547,1.67523,3.53026,1.70886,0.000373236,0.000373236,0.000373236
9,288.731,1.68759,1.99463,1.34125,0.64636,0.38617,0.46911,0.25011,1.66343,3.25885,1.71547,0.000411408,0.000411408,0.000411408
10,320.799,1.85592,1.94173,1.44892,1,0.30624,0.5068,0.26638,1.70327,3.37132,1.77701,0.00044738,0.00044738,0.00044738
11,353.682,1.85914,1.84725,1.38691,0.01129,0.66667,0.56596,0.38157,1.75686,3.44599,1.81377,0.000481152,0.000481152,0.000481152
12,385.712,1.8577,1.80396,1.32472,0.87117,0.14815,0.55458,0.33204,1.87822,3.41664,1.91188,0.000512724,0.000512724,0.000512724
13,417.992,1.76737,1.82871,1.32386,0.85333,0.14815,0.53241,0.29367,1.90809,3.33707,1.9584,0.000542097,0.000542097,0.000542097
14,451.67,1.77446,1.68885,1.25547,0.60789,0.43117,0.5136,0.30282,1.85767,3.07314,1.87856,0.00056927,0.00056927,0.00056927
15,487.155,1.65869,1.61479,1.28071,0.41715,0.48148,0.42534,0.32937,2.08641,3.14093,2.28671,0.000594243,0.000594243,0.000594243
16,519.739,1.66089,1.70692,1.31478,0.72721,0.46332,0.50759,0.39071,2.10886,3.07312,2.3646,0.000617016,0.000617016,0.000617016
17,552.635,1.74757,1.64041,1.2678,0.66916,0.43061,0.51294,0.28344,1.96212,3.12959,2.1943,0.00063759,0.00063759,0.00063759
18,585.615,1.7885,1.60678,1.34353,0.60003,0.51344,0.49003,0.25957,2.01929,3.24093,2.1425,0.000655963,0.000655963,0.000655963
