ID,Objeto,Primer Detección (ms),Última Detección (ms),Duración Estimada (s)
1,chaleco,633.3333333333333,2016.6666666666665,1.3833333333333333
2,casco,666.6666666666666,1849.9999999999998,1.1833333333333331
3,casco,1100.0,1883.3333333333333,0.7833333333333332
4,casco,1783.3333333333333,2116.6666666666665,0.33333333333333326
5,casco,1783.3333333333333,2550.0,0.7666666666666667
6,casco,1783.3333333333333,3216.666666666667,1.4333333333333338
7,casco,1849.9999999999998,3350.0,1.5000000000000002
8,casco,2016.6666666666665,3516.6666666666665,1.5
9,chaleco,2350.0,2683.333333333333,0.33333333333333304
10,casco,2383.3333333333335,2916.6666666666665,0.533333333333333
11,casco,2416.6666666666665,3516.6666666666665,1.1
12,casco,2416.6666666666665,3516.6666666666665,1.1
13,casco,3150.0,3750.0,0.6
13,chaleco,3050.0,3116.6666666666665,0.06666666666666651
14,casco,6000.0,6383.333333333333,0.383333333333333
15,casco,6350.0,7950.0,1.6
16,chaleco,7883.333333333333,8883.333333333332,0.9999999999999991
17,chaleco,8983.333333333332,9583.333333333334,0.6000000000000019
18,casco,9416.666666666666,11183.333333333334,1.766666666666668
19,casco,9416.666666666666,11183.333333333334,1.766666666666668
20,casco,9416.666666666666,11183.333333333334,1.766666666666668
21,casco,9416.666666666666,11183.333333333334,1.766666666666668
22,casco,9550.0,11183.333333333334,1.633333333333334
23,chaleco,9750.0,10750.0,1.0
24,casco,9916.666666666666,11183.333333333334,1.266666666666668
